NUMERO;ID;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;CORTE_INGRESO;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;ESTADO_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;ESTADO DOS;PROMEDIO_TRES;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;ESTADO TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;ESTADO CUATRO;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;ESTADO CINCO;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;ESTADO SEIS;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;ESTADO SIETE;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;ESTADO OCHO;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;ESTADO NUEVE;PROMEDIO_DIEZ;CAR_DIEZ;NCC_DIEZ;NCA_DIEZ;NCP_DIEZ;NAC_DIEZ;NAA_DIEZ;NAP_DIEZ;EPA_DIEZ;SEMESTRES_CURSADOS;ESTADO_FINAL;NOTA_DIF;VECES_DIF;CREDITOS_DIF;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEM;VECES_SEM;CREDITOS_SEM;NOTA_HIST;VECES_HIST;CREDITOS_HIST;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_CD&C;VECES_CD&C;CREDITOS_CD&C;NOTA_DITO;VECES_DITO;CREDITOS_DITO;NOTA_PROGB;VECES_PROGB;CREDITOS_PROGB;NOTA_FIS_UNO;VECES_FIS_UNO;CREDITOS_FIS_UNO;NOTA_INT;VECES_INT;CREDITOS_INT;NOTA_EYB;VECES_EYB;CREDITOS_EYB;NOTA_ASES;VECES_ASES;CREDITOS_ASES;NOTA_TOP;VECES_TOP;CREDITOS_TOP;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_POO;VECES_POO;CREDITOS_POO;NOTA_FIS_DOS;VECES_FIS_DOS;CREDITOS_FIS_DOS;NOTA_MULTI;VECES_MULTI;CREDITOS_MULTI;NOTA_ECUA;VECES_ECUA;CREDITOS_ECUA;NOTA_FOTO;VECES_FOTO;CREDITOS_FOTO;NOTA_SUELOS;VECES_SUELOS;CREDITOS_SUELOS;NOTA_L_UNO;VECES_L_UNO;CREDITOS_L_UNO;NOTA_FIS_TRES;VECES_FIS_TRES;CREDITOS_FIS_TRES;NOTA_CCON;VECES_CCON;CREDITOS_CCON;NOTA_PROB;VECES_PROB;CREDITOS_PROB;NOTA_GEOGEO;VECES_GEOGEO;CREDITOS_GEOGEO;NOTA_PRII;VECES_PRII;CREDITOS_PRII;NOTA_GH&F;VECES_GH&F;CREDITOS_GH&F;NOTA_ECO_UNO;VECES_ECO_UNO;CREDITOS_ECO_UNO;NOTA_ME;VECES_ME;CREDITOS_ME;NOTA_EST;VECES_EST;CREDITOS_EST;NOTA_AGEO;VECES_AGEO;CREDITOS_AGEO;NOTA_BD;VECES_BD;CREDITOS_BD;NOTA_CARTO;VECES_CARTO;CREDITOS_CARTO;NOTAS_SISC;VECES_SISC;CREDITOS_SISC;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;NOTA_L_DOS;VECES_L_DOS;CREDITOS_L_DOS;NOTA_HSE;VECES_HSE;CREDITOS_HSE;NOTA_INGECO;VECES_INGECO;CREDITOS_INGECO;NOTA_GEO_FIS;VECES GEO_FIS;CREDITOS_GEO_FIS;NOTA_SIG;VECES_SIG;CREDITOS_SIG;NOTA_LEGIC;VECES_LEGIC;CREDITOS_LEGIC;NOTA_ECO_DOS;VECES_ECO_DOS;CREDITO_ECO_DOS;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;NOTA_GEO_SAL;VECES_GEO_SAL;CREDITOS_GEO_SAL;NOTA_PDI;VECES_PDI;CREDITOS_PDI;NOTA_PROCC;VECES_PROCC;CREDITOS_PROCC;NOTA_AVAP;VECES_AVAP;CREDITOS_AVAP;NOTA_ECONOMET;VECES_ECONOMET;CREDITOS_ECONOMET;NOTA_L_TRES;VECES_L_TRES;CREDITOS_L_TRES;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_FGEP;VECES_FGEP;CREDITOS_FGEP;NOTA_FOTOD;VECES_FOTOD;CREDITOS_FOTOD;NOTA_AVAM;VECES_AVAM;CREDITOS_AVAM;NOTAS_MINV;VECES_MINV;CREDITOS_MINV;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_ORD_TER;VECES_ORD_TER;CREDITOS_ORD_TER;NOTA_TG_UNO;VECES_TG_UNO;CREDITOS_TG_UNO;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;NOTA_VAL;VECES_VAL;CREDITOS_VAL;NOTA_PLADES;VECES_PLADES;CREDITOS_PLADES;NOTA_TG_DOS;VECES_TG_DOS;CREDITOS_TG_DOS;NAR_TOTAL;NAC_TOTAL;NAA_TOTAL;NAP_TOTAL;NSC_TOTAL;PROMEDIO_TOTAL
1;3,1797E+19;1;0;20;0;0;0;465,98;74,32;74,32;53,57;48,33;62,59;62,59;56,75;0;62,84;49,51;20;6;10;2;2009;3;36;1;15;15;0;7;7;0;1;1;36,17647059;2;17;17;0;6;6;0;1;1;34,72222222;1;18;18;0;7;7;0;1;1;36,88235294;0;17;17;0;7;7;0;1;1;36,83333333;1;18;18;0;7;7;0;1;1;38,35294118;1;17;17;0;8;8;0;1;1;40,375;0;16;16;0;7;7;0;1;1;36,78571429;0;14;14;0;6;6;0;1;1;37,8;0;13;10;3;5;4;1;1;1;40,09090909;1;11;11;0;4;4;0;1;10;8;30;2;4;40;1;2;40;1;1;45;1;2;35;1;3;35;1;1;35;1;2;50;1;3;35;1;3;30;2;3;45;1;2;30;2;3;30;1;3;45;1;1;45;1;3;30;1;3;30;2;3;35;1;3;35;1;2;30;1;3;30;1;2;39;1;3;40;1;1;40;1;2;32;1;3;38;1;3;40;1;3;36;1;2;34;1;2;35;1;2;40;1;3;30;1;3;43;1;3;38;2;3;43;1;2;44;1;2;36;1;1;34;1;2;37;2;3;33;1;3;42;1;2;40;1;2;45;1;2;38;1;2;36;1;3;44;1;3;44;1;2;38;1;2;38;1;2;31;1;2;39;1;3;36;1;3;42;1;2;35;1;2;37;1;2;;;;30;1;3;40;1;2;0;0;3;40;1;3;44;1;2;44;1;3;30;2;2;39;1;3;44;1;3;7;64;63;1;10;37,40189436
2;3,1797E+19;1;1;20;1;43;7;479;53,42;53,42;53,97;59,03;63,33;63,33;63,27;0;70,86;47,66;10;3;10;2;2009;3;36;2;15;15;0;7;7;0;1;1;35,17647059;2;17;17;0;6;6;0;2;3;35,55555556;1;18;18;0;7;7;0;1;1;37,23529412;2;17;17;0;7;7;0;1;1;38,66666667;1;18;18;0;7;7;0;1;1;36,35294118;1;17;17;0;8;8;0;1;1;39,5625;0;16;16;0;7;7;0;1;1;36,78571429;0;14;14;0;6;6;0;1;1;38,6;0;13;10;3;5;4;1;1;1;43,90909091;0;11;11;0;4;4;0;1;10;8;30;2;4;45;1;2;45;1;1;45;1;2;30;2;3;35;1;1;35;1;2;30;1;3;35;2;3;36;3;3;50;1;2;30;1;3;35;1;3;45;1;1;40;1;3;39;1;3;31;2;3;30;1;3;35;1;2;35;1;3;40;1;2;30;2;3;36;1;1;38;1;2;40;2;3;37;1;3;40;1;3;34;1;2;30;2;2;44;1;2;33;1;3;42;1;3;39;1;3;46;1;3;40;1;2;30;1;2;38;1;1;30;1;2;30;2;3;40;1;3;43;1;2;42;1;2;47;1;2;38;1;2;44;1;3;33;1;3;45;1;2;41;1;2;30;1;2;42;1;2;37;1;3;40;1;3;32;1;2;37;1;2;31;1;2;;;;33;1;3;48;1;2;0;0;3;39;1;3;37;1;2;50;1;3;30;1;2;46;1;3;45;1;3;9;64;63;1;10;37,78442333
3;3,1797E+19;0;1;4;1;20;5;391,71;49,77;49,77;52,53;52,59;48,95;48,95;35,42;0;44,33;31,96;4;2;10;1;2009;3;34;4;15;15;0;7;7;0;2;3;29,64285714;1;17;11;6;6;4;2;1;1;38;1;18;1;17;7;1;6;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;50;0;17;2;15;8;1;7;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;5;30;3;4;30;1;2;45;1;1;45;1;2;30;3;3;39;3;1;33;3;2;0;0;3;30;1;3;31;1;3;35;1;2;18;2;3;36;1;3;38;2;1;0;0;3;0;1;3;0;1;3;0;1;3;0;1;2;0;0;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;50;1;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;6;28;13;15;4;15,16428571
4;3,1797E+19;1;2;1;1;20;5;425,79;53,42;53,42;49,04;47,6;53,3;53,3;55,53;0;51,78;74,16;1;1;10;1;2009;3;37,66666667;0;15;15;0;7;7;0;1;1;32,94117647;1;17;17;0;6;6;0;1;1;33,88888889;0;18;18;0;7;7;0;1;1;38,76470588;0;17;17;0;7;7;0;1;1;38,77777778;2;18;18;0;7;7;0;1;1;41;1;17;17;0;8;8;0;1;1;40,9375;0;16;16;0;7;7;0;1;1;38,07142857;0;14;14;0;6;6;0;1;1;39,9;0;13;10;3;5;4;1;1;1;42,27272727;0;11;11;0;4;4;0;1;10;8;30;1;4;45;1;2;45;1;1;45;1;2;40;1;3;30;1;1;35;1;2;30;1;3;30;1;3;30;2;3;40;1;2;30;1;3;40;1;3;45;1;1;40;1;3;30;1;3;30;1;3;35;1;3;35;1;2;30;1;3;45;1;2;30;1;3;40;1;1;35;1;2;40;1;3;38;1;3;45;1;3;37;1;2;31;2;2;41;1;2;38;2;3;39;1;3;44;1;3;39;1;3;42;1;2;40;1;2;48;1;1;42;1;2;37;2;3;40;1;3;44;1;2;41;1;2;45;1;2;41;1;2;45;1;3;44;1;3;38;1;2;38;1;2;32;1;2;42;1;2;39;1;3;36;1;3;34;1;2;39;1;2;39;1;2;;;;40;1;3;32;1;2;0;0;3;41;1;3;46;1;2;47;1;3;30;1;2;45;1;3;43;1;3;4;64;63;1;10;38,42208715
5;3,1797E+19;1;0;11;0;0;0;412,68;55,7;55,7;39,49;43,3;57,65;57,65;48,23;0;56,81;42,2;11;4;10;2;2009;3;34,66666667;1;15;15;0;7;7;0;1;1;32,35294118;2;17;17;0;6;6;0;1;1;36,55555556;0;18;18;0;7;7;0;1;1;37,52941176;0;17;17;0;7;7;0;1;1;34,83333333;2;18;18;0;7;7;0;1;1;38,88235294;1;17;17;0;8;8;0;1;1;36,1875;1;16;16;0;7;7;0;1;1;38,42857143;0;14;14;0;6;6;0;1;1;39,5;0;13;10;3;5;4;1;1;1;43,36363636;1;11;11;0;4;4;0;1;10;8;30;1;4;45;1;2;40;1;1;45;1;2;30;2;3;30;1;1;30;1;2;30;1;3;35;2;3;30;2;3;35;1;2;30;1;3;35;1;3;45;1;1;40;1;3;36;1;3;30;1;3;40;1;3;35;1;2;35;1;3;40;1;2;32;1;3;40;1;1;43;1;2;31;1;3;41;1;3;40;1;3;32;2;2;30;1;2;40;1;2;30;2;3;30;1;3;41;1;3;40;1;3;46;1;2;32;1;2;47;1;1;42;1;2;36;1;3;38;2;3;38;1;2;38;1;2;47;1;2;43;1;2;30;1;3;33;1;3;41;1;2;30;1;2;34;2;2;45;1;2;38;1;3;38;1;3;35;1;2;37;1;2;38;1;2;;;;36;1;3;36;1;2;0;0;3;47;1;3;37;1;2;48;1;3;30;2;2;46;1;3;45;1;3;8;64;63;1;10;37,22999692
6;3,1797E+19;0;0;20;0;0;0;446,77;55,29;55,29;49,33;60,46;51,43;51,43;52,56;0;54,32;33,35;9;3;10;2;2009;3;16,33333333;0;15;1;14;7;1;6;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;5;15;1;4;15;1;2;35;1;1;15;1;2;15;1;3;15;1;1;15;1;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;3;0;0;1;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;0;7;1;6;1;1,633333333
7;3,1797E+19;1;1;20;1;59;15;415,52;60,48;60,48;40,3;42,03;51,38;51,38;51,89;0;58,26;45,71;20;6;10;2;2009;3;24,66666667;4;15;6;9;7;4;3;2;3;15;2;17;0;17;6;0;6;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;5;15;4;4;35;1;2;50;1;1;35;1;2;15;4;3;45;2;1;15;4;2;0;0;3;0;0;3;0;0;3;15;3;2;15;3;3;0;0;3;0;0;1;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;6;13;4;9;2;3,966666667
8;3,1797E+19;0;1;10;1;20;5;400,39;53,2;53,2;51,73;50,66;49,19;49,19;65;0;48,41;49,65;10;3;10;2;2009;3;35,66666667;0;15;15;0;7;7;0;1;1;33,52941176;2;17;17;0;6;6;0;1;1;34,44444444;0;18;18;0;7;7;0;1;1;34,94117647;0;17;17;0;7;7;0;1;1;35,05555556;1;18;18;0;7;7;0;1;1;39,64705882;0;17;17;0;8;8;0;1;1;38,5;0;16;16;0;7;7;0;1;1;37,07142857;1;14;14;0;6;6;0;1;1;37,61538462;0;13;13;0;5;5;0;1;1;42,27272727;1;11;11;0;4;4;0;1;10;8;30;1;4;45;1;2;45;1;1;45;1;2;30;1;3;30;1;1;35;1;2;50;1;3;30;1;3;30;2;3;30;1;2;30;1;3;30;2;3;40;1;1;35;1;3;35;1;3;30;1;3;40;1;3;35;1;2;30;1;3;39;1;2;32;1;3;39;1;1;30;1;2;37;1;3;35;1;3;35;1;3;33;1;2;38;2;2;42;1;2;30;1;3;30;1;3;40;1;3;35;1;3;45;1;2;36;1;2;46;1;1;42;1;2;42;1;3;38;1;3;37;1;2;34;1;2;41;1;2;38;1;2;48;1;3;30;1;3;43;1;2;39;1;2;30;1;2;42;2;2;34;1;3;31;1;3;44;1;2;31;1;2;45;1;2;;;;35;1;3;40;1;2;35;1;3;41;1;3;38;1;2;50;1;3;33;2;2;41;1;3;42;1;3;5;64;64;0;10;36,87438542
9;3,1797E+19;0;1;11;1;20;5;403,19;52,15;52,15;50,98;37,18;51,08;51,08;53,84;0;49,38;54,57;11;4;10;2;2009;3;15;4;15;0;15;7;0;7;2;3;0;0;0;0;0;0;0;0;0;2;15;0;18;0;18;7;0;7;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;5;15;2;4;15;1;2;15;1;1;15;2;2;15;2;3;15;1;1;15;2;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;3;15;1;1;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;4;14;0;14;2;3
10;3,1797E+19;0;0;6;0;0;0;436,39;48,4;48,4;56,34;57,31;51,38;51,38;57,36;0;58,26;43,74;8;3;10;2;2009;3;22,66666667;0;15;3;12;7;2;5;2;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;5;15;1;4;25;1;2;45;1;1;40;1;2;20;1;3;15;1;1;15;1;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;3;0;0;1;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;;;;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;0;7;2;5;1;2,266666667
